PairID,type,longitude,latitude
1,Release,170.566420619,68.8251631075
1,Recovery,133.266420619,35.4084964372
2,Release,170.566420619,68.8251631075
2,Recovery,139.299753919,36.1418297669
3,Release,170.466420619,68.7251631068
3,Recovery,139.299753919,36.1418297669
4,Release,170.466420619,68.7251631068
4,Recovery,140.967035758,38.2081746856
